RSSI;long_average;short_average
-100;-100;-100
-100;-100;-100
-100;-100;-100
-100;-100;-100
-100;-100;-100
-100;-100;-100
-100;-100;-100
-100;-100;-100
-100;-100;-100
-100;-100;-100
-100;-100;-100
-66;-99;-98
-66;-99;-96
-66;-98;-96
-66;-99;-94
-66;-98;-93
-66;-97;-91
-100;-97;-91
-66;-97;-89
-66;-97;-88
-100;-97;-88
-100;-97;-88
-100;-97;-88
-100;-97;-88
-100;-97;-88
-100;-97;-88
-100;-97;-88
-100;-97;-88
-100;-97;-88
-100;-97;-88
-100;-97;-88
-100;-97;-88
-100;-97;-89
-100;-97;-91
-100;-97;-91
-100;-98;-93
-100;-97;-94
-100;-97;-96
-100;-97;-96
-100;-97;-98
-100;-97;-100
-100;-97;-100
-100;-97;-100
-100;-97;-100
-100;-97;-100
-100;-97;-100
-100;-97;-100
-100;-97;-100
-100;-97;-100
-100;-97;-100
-100;-97;-100
-100;-97;-100
-100;-97;-100
-100;-97;-100
-100;-97;-100
-100;-97;-100
-100;-98;-100
-100;-97;-100
-100;-97;-100
-100;-97;-100
-100;-97;-100
-100;-97;-100

