RSSI;long_average;short_average
-100;-100;-100
-100;-100;-100
-100;-100;-100
-100;-100;-100
-100;-100;-100
-100;-100;-100
-100;-100;-100
-100;-101;-100
-100;-100;-100
-100;-100;-100
-100;-100;-100
-100;-100;-100
-100;-100;-100
-100;-100;-100
-100;-100;-100
-100;-100;-100
-100;-100;-100
-100;-100;-100
-100;-100;-100
-100;-100;-100
-100;-100;-100
-100;-100;-100
-100;-100;-100
-54;-99;-97
-54;-99;-95
-100;-99;-95
-100;-99;-95
-100;-99;-95
-100;-100;-95
-100;-99;-95
-100;-99;-95
-100;-99;-95
-100;-99;-95
-100;-99;-95
-100;-99;-95
-100;-99;-95
-100;-99;-95
-100;-99;-95
-100;-99;-95
-100;-99;-95
-100;-99;-95
-100;-99;-95
-100;-99;-95
-100;-99;-95
-100;-99;-97
-100;-99;-100
-54;-98;-97
-54;-98;-95
-54;-97;-95
-100;-98;-95
-100;-97;-95
-54;-97;-93
-100;-97;-93
-100;-97;-93
-100;-97;-93
-100;-97;-93
-100;-97;-93
-100;-97;-93
-54;-96;-90
-54;-96;-88
-54;-95;-86
-100;-95;-86
-100;-95;-86
-100;-95;-86
-100;-95;-86
-100;-95;-86
-100;-95;-86
-100;-95;-88
-100;-95;-90
-100;-95;-90
-100;-96;-90
-100;-95;-90
-100;-95;-93
-100;-95;-93
-100;-95;-93
-100;-95;-93
-100;-95;-93
-100;-95;-93
-100;-95;-93
-100;-95;-95
-100;-95;-97
-100;-95;-100
-100;-95;-100
-100;-95;-100
-100;-95;-100
-100;-95;-100
-100;-95;-100
-100;-95;-100
